Sequence	Position	P start	P occupied
SEQ1	802	0.00629	0.112
SEQ1	803	0.00437	0.116
SEQ1	804	0.00233	0.118
SEQ1	805	0.00157	0.119
SEQ1	806	0.00131	0.120
SEQ1	807	0.00157	0.122
SEQ1	808	0.00219	0.124
SEQ1	809	0.00515	0.129
SEQ1	810	0.00969	0.138
SEQ1	811	0.0134	0.152
SEQ1	812	0.0116	0.163
SEQ1	813	0.00614	0.170
SEQ1	814	0.00321	0.173
SEQ1	815	0.00157	0.174
SEQ1	816	0.00125	0.175
SEQ1	817	0.00169	0.177
SEQ1	818	0.00276	0.179
SEQ1	819	0.00347	0.183
SEQ1	820	0.0046	0.187
SEQ1	821	0.0063	0.194
SEQ1	822	0.00461	0.198
SEQ1	823	0.00321	0.201
SEQ1	824	0.00208	0.203
SEQ1	825	0.00177	0.205
SEQ1	826	0.00175	0.207
SEQ1	827	0.00251	0.209
SEQ1	828	0.00434	0.214
SEQ1	829	0.0082	0.222
SEQ1	830	0.0137	0.236
SEQ1	831	0.0108	0.246
SEQ1	832	0.0065	0.253
SEQ1	833	0.00297	0.256
SEQ1	834	0.00139	0.257
SEQ1	835	0.000931	0.258
SEQ1	836	0.00103	0.259
SEQ1	837	0.00264	0.262
SEQ1	838	0.00719	0.269
SEQ1	839	0.014	0.283
SEQ1	840	0.0269	0.310
SEQ1	841	0.0296	0.339
SEQ1	842	0.0164	0.356
SEQ1	843	0.0112	0.367
SEQ1	844	0.00666	0.374
SEQ1	845	0.00351	0.377
SEQ1	846	0.00234	0.379
SEQ1	847	0.00252	0.382
SEQ1	848	0.00384	0.386
SEQ1	849	0.00573	0.391
SEQ1	850	0.0086	0.400
SEQ1	851	0.00975	0.410
SEQ1	852	0.00875	0.419
SEQ1	853	0.0047	0.423
SEQ1	854	0.00308	0.426
SEQ1	855	0	0.426
SEQ1	856	0	0.426
SEQ1	857	0	0.426
SEQ1	858	0	0.426
SEQ1	859	0	0.426
SEQ1	860	0	0.426
SEQ1	861	0	0.426
SEQ1	862	0	0.426
SEQ1	863	0	0.426
SEQ1	864	0	0.426
SEQ1	865	0	0.426
SEQ1	866	0	0.426
SEQ1	867	0	0.426
SEQ1	868	0	0.426
SEQ1	869	0	0.426
SEQ1	870	0	0.426
SEQ1	871	0	0.426
SEQ1	872	0	0.426
SEQ1	873	0	0.426
SEQ1	874	0	0.426
SEQ1	875	0	0.426
SEQ1	876	0	0.426
SEQ1	877	0	0.426
SEQ1	878	0	0.426
SEQ1	879	0	0.426
SEQ1	880	0	0.426
SEQ1	881	0	0.426
SEQ1	882	0	0.426
SEQ1	883	0	0.426
SEQ1	884	0	0.426
SEQ1	885	0	0.426
SEQ1	886	0	0.426
SEQ1	887	0	0.426
SEQ1	888	0	0.426
SEQ1	889	0	0.426
SEQ1	890	0	0.426
SEQ1	891	0	0.426
SEQ1	892	0	0.425
SEQ1	893	0	0.425
SEQ1	894	0	0.425
SEQ1	895	0	0.425
SEQ1	896	0	0.425
SEQ1	897	0	0.425
SEQ1	898	0	0.425
SEQ1	899	0	0.425
SEQ1	900	0	0.425
SEQ1	901	0	0.425
SEQ1	902	0	0.425
SEQ1	903	0	0.424
SEQ1	904	0	0.424
SEQ1	905	0	0.423
SEQ1	906	0	0.422
SEQ1	907	0	0.422
SEQ1	908	0	0.422
SEQ1	909	0	0.421
SEQ1	910	0	0.421
SEQ1	911	0	0.421
SEQ1	912	0	0.420
SEQ1	913	0	0.420
SEQ1	914	0	0.419
SEQ1	915	0	0.418
SEQ1	916	0	0.416
SEQ1	917	0	0.413
SEQ1	918	0	0.411
SEQ1	919	0	0.410
SEQ1	920	0	0.409
SEQ1	921	0	0.409
SEQ1	922	0	0.408
SEQ1	923	0	0.408
SEQ1	924	0	0.406
SEQ1	925	0	0.403
SEQ1	926	0	0.400
SEQ1	927	0	0.398
SEQ1	928	0	0.397
SEQ1	929	0	0.396
SEQ1	930	0	0.396
SEQ1	931	0	0.395
SEQ1	932	0	0.395
SEQ1	933	0	0.395
SEQ1	934	0	0.394
SEQ1	935	0	0.392
SEQ1	936	0	0.387
SEQ1	937	0	0.380
SEQ1	938	0	0.371
SEQ1	939	0	0.363
SEQ1	940	0	0.359
SEQ1	941	0	0.357
SEQ1	942	0	0.355
SEQ1	943	0	0.354
SEQ1	944	0	0.352
SEQ1	945	0	0.348
SEQ1	946	0	0.340
SEQ1	947	0	0.331
SEQ1	948	0	0.323
SEQ1	949	0	0.317
SEQ1	950	0	0.313
SEQ1	951	0	0.310
SEQ1	952	0	0.309
SEQ1	953	0	0.307
SEQ1	954	0	0.306
SEQ1	955	0	0.304
SEQ1	956	0	0.298
SEQ1	957	0	0.289
SEQ1	958	0	0.275
SEQ1	959	0	0.264
SEQ1	960	0	0.258
SEQ1	961	0	0.254
SEQ1	962	0	0.253
SEQ1	963	0	0.252
SEQ1	964	0	0.250
SEQ1	965	0	0.247
SEQ1	966	0	0.244
SEQ1	967	0	0.239
SEQ1	968	0	0.233
SEQ1	969	0	0.228
SEQ1	970	0	0.225
SEQ1	971	0	0.223
SEQ1	972	0	0.221
SEQ1	973	0	0.219
SEQ1	974	0	0.217
SEQ1	975	0	0.212
SEQ1	976	0	0.204
SEQ1	977	0	0.191
SEQ1	978	0	0.180
SEQ1	979	0	0.173
SEQ1	980	0	0.170
SEQ1	981	0	0.169
SEQ1	982	0	0.168
SEQ1	983	0	0.167
SEQ1	984	0	0.164
SEQ1	985	0	0.157
SEQ1	986	0	0.143
SEQ1	987	0	0.116
SEQ1	988	0	0.0870
SEQ1	989	0	0.0706
SEQ1	990	0	0.0594
SEQ1	991	0	0.0528
SEQ1	992	0	0.0493
SEQ1	993	0	0.0469
SEQ1	994	0	0.0444
SEQ1	995	0	0.0406
SEQ1	996	0	0.0348
SEQ1	997	0	0.0262
SEQ1	998	0	0.0165
SEQ1	999	0	0.00777
SEQ1	1000	0	0.00307
